Train,From,Class,Engine,Destination,1,2,3,4,5,6,7,8,9,10,11,200,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,201,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
04:52,Vic,Pass,EMU,??,S04.52,,,,,,,P04.58,,T05.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00,Holbourn V,Pass,EMU,Sevenoaks,,,,,,,,,,,,,,,,,,,S05.29,,S05.32,,S05.35,,,,S05.40,,T05.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00,Charing Cross,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P06.23,S06.25,,,,S06.28/06.30,,T06.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:05,Faversham,Pass,U-2-6-0,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.05,,,,,,,,,,,,,,,,S05.26,,S05.36,,S05.42,S05.47,S05.55,T06.00,,,,,,
05:10,Victoria,Pass,BRS4-6-0,Ramsgate,S05.10,,,,,,,S05.22,,,,,,,,,P05.31,,,P05.33,,S05.35/05.40,,P05.45,,,,S05.55,,,,,S06.18,,P06.23,P06.27,,,S06.28/06.31,,S06.33/06.38,S06.42/06.44,,S06.51,S06.57,,,,,S07.03/07.06,,S07.13,,S07.21/07.29,,S07.39,S07.47,S07.52/07.55,,,S08.07,S08.13,S08.19/08.24,,S08.32,S08.39,,T08.42,,,,,,,,,,,,,,,
05:12,Margate,Pass,L4-4-0,Canterbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.12,,S05.22,S05.26,,T05.29,,,,,,,,,,,,,,,
05:20,Gillingham,Goods,C0-6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.20,,S05.26/06.15,S06.23/07.05,,,,S07.15/07.25,,,S07.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:27,Strood,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.29,,,S05.31,S05.32/05.34,,,T05.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:30,Margate,Pass,2-6-4T,Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.30,,S05.37,S05.41,,T05.44,,,,,,,,,,,,,,,
05:30,Hoo Junction,Goods,C0-6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.47,S05.50/07.16,,P07.20,,P07.24,P07.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:31,Sheerness,Pass,T2-6-2,Sittingbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.51,P05.53,S05.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.31,S05.37,S05.43,,S05.47,
05:37,Beck Junc,Pass,EMU,Orpington,,,,,,,,,,,,,,,,,S05.37,,,P05.41,,S05.43/05.52,,S05.55,P05.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:45,Chatham,Pass,T2-6-2,Faversham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.45,S05.50,,S05.56,S06.02,,,,S06.08/06.16,,,S06.23,T06.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:10,Strood,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P06.12,,S06.14,,S06.18,,,T06.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:14,Faversham,Pass,T-20604,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.14,,,,,,,,,,,,,,,S06.21,S06.32/06.38,S06.45,S06.52,S06.56,S07.00,S07.06,S07.15,T07.20,,,,,,
06:20,Canterbury E,Pass,T2-6-4,Folkstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.20,S06.26,S06.32,S06.36,S06.40,S06.46,S06.53,T06.58,,,,,,
06:25,Faversham,Goods,N2-6-0,Snowdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.25,,,,,,,,,,,,,,,,,P07.00,,,,T07.25,,,,,,,,,
06:35,Sheerness,Pass,T2-6-2,Sittingbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P06.53,P06.54,T06.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.35,S06.41,S06.46,,S06.50,
06:40,Faversham,Goods,N2-6-0,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.40,,,,,,,,,,,,,,,,S06.56/07.20,S07.37/08.45,S08.55/09.15,S09.25/10.15,,,S10.25/11.35,,T11.55,,,,,,
07:03,Margate,XP,V4-4-0,Cannon St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.03,,S07.09,S07.14,T07.17,,,,,,,,,,,,,,,,
07:36,Margate,Pass,WC,Charing Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.36,,S07.43,S07.47,,S07.50,,,,,,,,,,,,,,,
07:58,Margate,Pass,L4-4-0,Hastings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.58,,S08.05,S08.09,,S08.12,,,,,,,,,,,,,,,
08:10,Margate,Pass,T2-6-4,Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.10,,S08.17,S08.21,,T08.24,,,,,,,,,,,,,,,
22:00,Hither Green,Goods,N2-6-0,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D01.00,,P01.03,,P01.08,S01.28,,,,,,,,S02.11,,,S02.48,,,,,,,,,,,,,,,,,P03.23,,,,S04.25,S04.55,,T05.15,,,,,,
22:46,CX,Pass,EMU,Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P00/05,,,S00.07,,S00.10,,T00.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:40,Herne Hill,Goods,C0-6-0,,,,,,,,S23.40,,,,,,,,,,P00.05,,,,,,P00.22,,,,P00.31,P00.39,,S01.17,,,P01.35,,,,T01.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:42,CX,Pass,EMU,Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P00.57,,,P00.58,S01.00,,,T01.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:55,Sitt,Goods,N2-6-0,S'well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S23.55,,,,S00.30,,,,,,,,,,,,,,,,,P01.05,,,,,T01.35,,,,,,,,
