05:20,Gillingham,Goods,C0-6-0,Murston,S05.20:41,S05.26/06.15:203,S06.23/07.05:43,S07.15/07.25:47,T07.35:50,,,,,,,,,,,,,,,,,,,,,,
05:23,Herne Hill,Goods,N2-6-0,Sole street,S05.23:7,P05.45:16,P05.50:19,P06.09:26,P06.17:27,S06.42/07.40:204,P07.50:35,S08.00/08.55:36,P08.57:37,P09.00:39,P09.08:41,T09.30:202,,,,,,,,,,,,,,,
05:24,Charing Cross,Pass,EMU,Gillingham,P06.39:35,S06.40/06.41:38,S06.43/06.45:40,T06.48:201,,,,,,,,,,,,,,,,,,,,,,,
05:27,Strood,Pass,EMU,Gillingham,P05.29:35,S05.31:38,S05.32/05.34:39,T05.37:201,,,,,,,,,,,,,,,,,,,,,,,
05:30,Hoo Junction,Goods,C0-6-0,Gillingham,P05.47:35,S05.50/07.16:36,P07.20:38,P07.24:40,P07.32:41,,,,,,,,,,,,,,,,,,,,,,
05:30,Margate,Pass,2-6-4T,Ashford,S05.30:61,S05.37:63,S05.41:64,T05.44:66,,,,,,,,,,,,,,,,,,,,,,,
05:31,Sheerness,Pass,T2-6-2,Sittingbourne,P05.51:508,P05.53:202,T05.54:47,S05.31:76,S05.37:77,S05.43:78,S05.47:80,,,,,,,,,,,,,,,,,,,,
05:37,Beck Junc,Pass,EMU,Orpington,S05.37:16,P05.41:19,S05.43/05.52:21,S05.55:23,P05.57:24,,,,,,,,,,,,,,,,,,,,,,
05:37,Cannon Street,Pass,EMU,Gillingham,P06.39:35,S06.40/06.41:38,S06.43/06.45:40,T06.48:201,,,,,,,,,,,,,,,,,,,,,,,
05:44,Victoria,Pass,EMU,Sevenoaks,S05.44:1,S05.50:5,S05.52:8,S05.55:10,S05.57:11,S06.00:12,S06.02:14,S06.04:16,S06.07:19,S06.08/06.09:21,S06.12:23,S06.17:26,T06.22:28,,,,,,,,,,,,,,
05:45,Chatham,Pass,T2-6-2,Faversham,S05.45:40,S05.50:41,S05.56:42,S06.02:43,S06.08/06.16:47,S06.23:50,T06.31:51,,,,,,,,,,,,,,,,,,,,
05:50,Cannon Street,Pass,E 4-4-0,Dover,P07.09:35,S07.10/07.11:38,S07.13/07.19:40,S07.23/07.25:41,S07.31:42,S07.37:43,S07.43/07.46:48,S07.54:50,S08.02/08.13:52,S08.20:67,S08.31/08.34:68,S08.40:69,S08.46:70,S08.50:71,S08.54:72,S08.59:73,S09.06:74,T09.11:75,,,,,,,,,
05:51,Holbourn V,Pass,EMU,Orpington,S06.20:19,S06.21/06.22:21,S06.25:23,T06.27:24,,,,,,,,,,,,,,,,,,,,,,,
06:00,Holbourn V,Pass,EMU,Maidstone,P06.12:6,S06.22:16,S06.26/06.28:21,P06.31:23,P06.32:26,S06.37:27,T06.39:28,,,,,,,,,,,,,,,,,,,,
06:09,Cannon St,Pass,EMU,Gillingham,P07.30:35,S07.31/07.32:38,S07.34/07.36:40,T07.39:201,,,,,,,,,,,,,,,,,,,,,,,
06:10,Strood,Pass,EMU,Gillingham,P06.12:35,S06.14:37,S06.18:39,T06.21:201,,,,,,,,,,,,,,,,,,,,,,,
06:11,Holbourn V,Pass,EMU,Sevenoaks,S06.39:18,S06.41/06.42:20,S06.45:22,S06.50:26,S06.45:28,,,,,,,,,,,,,,,,,,,,,,
06:14,Faversham,Pass,T2-6-4,Dover,S06.14:52,S06.21:67,S06.32/06.38:68,S06.45:69,S06.52:70,S06.56:71,S07.00:72,S07.06:73,S07.15:74,T07.20:75,,,,,,,,,,,,,,,,,
06:20,Canterbury E,Pass,T2-6-4,Folkstone,S06.20:68,S06.26:69,S06.32:70,S06.36:71,S06.40:72,S06.46:73,S06.53:74,T06.58:75,,,,,,,,,,,,,,,,,,,
06:24,Victoria,Pass,EMU,Orpington,S06.24:1,S06.30:5,S06.32:8,S06.35:10,S06.37:11,S06.40:12,S06.42:14,S06.44:16,S06.47:19,S06.48/06.49:21,S06.52:23,T06.54:24,,,,,,,,,,,,,,,
06:25,Faversham,Goods,N2-6-0,Snowdown,S06.25:51,P07.00:68,T07.25:72,,,,,,,,,,,,,,,,,,,,,,,,
06:25,Holbourn V,Pass,EMU,Orpington,S06.37:7,S06.39:10,S06.41:11,S06.44:12,S06.46:13,S06.48:16,S06.51:19,S06.53/06.54:21,S06.57:23,T06.59:24,,,,,,,,,,,,,,,,,
06:31,Holbourn V,Pass,EMU,Sevenoaks,S06.59:18,S07.01/07.02:20,S07.05:22,S07.10:26,T07.15:28,,,,,,,,,,,,,,,,,,,,,,
06:35,Sheerness,Pass,T2-6-2,Sittingbourne,P06.53:508,P06.54:202,T06.55:47,,,,,,,,,,,,,,,,,,,,,,,,
06:36,Cannon Street,Pass,EMU,Gillingham,P07.52:35,S07.53/07.54:37,S07.56/07.58:39,T08.01:201,,,,,,,,,,,,,,,,,,,,,,,
06:40,Faversham,Goods,N2-6-0,Dover,S06.40:51,S06.56/07.20:67,S07.37/08.45:68,S08.55/09.15:69,S09.25/10.15:70,S10.25/11.35:73,T11.55:75,,,,,,,,,,,,,,,,,,,,
06:40,Victoria,Pass,EMU,Chatham,S06.40:1,P06.45:5,S06.48:8,P06.55:16,P06.57:19,S07.00/07.01:21,P07.04:23,P07.05:26,S07.10:27,S07.15:29,S07.20:30,S07.24:31,S07.27:32,P07.32:34,P07.35:35,S07.36/07.37:38,T07.39:39,,,,,,,,,,
06:44,Victoria,Pass,EMU,Orpington,S06.44:1,S06.50:5,S06.52:8,S06.54:10,S06.56:11,S07.00:12,S07.02:14,S07.04:16,S07.06:19,S07.08/07.09:21,S07.12:23,T07.14:24,,,,,,,,,,,,,,,
06:46,Holbourn V,Pass,EMU,Orpington,S06.57:7,S07.00:10,S07.02:11,S07.05:12,S07.07:14,S07.09:16,S07.12:19,S07.14/07.15:21,S07.18:23,T07.19:24,,,,,,,,,,,,,,,,,
06:50,Farningham Rd,Goods,C0-6-0,???,S06.50:29,S07.00/08.02:30,S08.12/08.50:31,S08.55/09.25:204,P09.45:35,S09.50/10.55:36,P10.57:37,P11.00:39,T11.07:201,,,,,,,,,,,,,,,,,,
06:51,Holbourn V,Pass,EMU,Sevenoaks,S07.20:18,S07.21/07.22:20,S07.25:22,S07.30:26,T07.35:28,,,,,,,,,,,,,,,,,,,,,,
07:00,Cannon Street,Pass,EMU,Ramsgate,P08.17:35,S08.18/08.20:38,S08.22/08.28:40,S08.32/08.34:41,S08.40:42,S08.46:43,S08.52/08.55:48,S09.02:50,S09.10/09.13:52,S09.23:54,S09.30:55,S09.35/09.37:56,S09.49:59,S09.54:60,S09.59/10.02:61,S10.09:63,S10.14:64,T10.18:66,,,,,,,,,
07:03,Margate,XP,V4-4-0,Cannon St,S07.03:61,S07.09:63,S07.14:64,T07.17:65,,,,,,,,,,,,,,,,,,,,,,,
07:04,Holbourn V,Pass,EMU,Orpington,S07.32:14,S07.35:16,S07.38:19,S07.39/07.40:21,S07.43:23,T07.45:24,,,,,,,,,,,,,,,,,,,,,
07:04,Victoria,Pass,EMU,Orpington,S07.04:1,S07.09:5,S07.12:8,S07.14:10,S07.16:11,S07.20:12,S07.02:14,S07.24:16,S07.27:19,S07.28/07.29:21,S07.33:23,T07.34:24,,,,,,,,,,,,,,,
07:10,Charing Cross,Pass,EMU,Gillingham,P08.28:35,S08.29/08.30:38,S08.32/08.34:40,T08.37:201,,,,,,,,,,,,,,,,,,,,,,,
07:11,Holbourn V,Pass,EMU,Sevenoaks,S07.40:18,S07.41/07.42:20,S07.45:22,S07.50:26,T07.55:28,,,,,,,,,,,,,,,,,,,,,,
07:18,Victoria,Pass,EMU,Gillingham,S07.18:1,P07.23:5,P07.25:8,P07.31:16,P07.33:19,S07.34/07.35:21,P07.36:23,P07.39:26,S07.47:27,S07.52:29,S07.57:30,S08.01:31,S08.04:32,P08.09:34,P08.12:35,S08.13/08.14:38,S08.16/08.20:40,T08.23:201,,,,,,,,,
07:22,Sheerness,Pass,2-6-2T,Sittingbourne,P07.37:508,P07.38:202,T07.39:47,,,,,,,,,,,,,,,,,,,,,,,,
07:24,Victoria,Pass,EMU,Orpington,S07.24:1,S07.29:5,S07.32:8,S07.34:10,S07.36:11,S07.39:12,S07.41:13,S07.43:16,S07.46:19,S07.49/05.51:21,S07.54:23,T07.55:24,,,,,,,,,,,,,,,
07:31,Holbourn V,Pass,EMU,Sevenoaks,S07.59:18,S08.01/08.02:20,S08.05:22,S08.10:26,T08.15:28,,,,,,,,,,,,,,,,,,,,,,
07:36,Margate,Pass,WC,Charing Cross,S07.36:61,S07.43:63,S07.47:64,T07.50:66,,,,,,,,,,,,,,,,,,,,,,,
07:37,Faversham,Pass,2-6-4T,Dover,S07.37:52,S07.44:67,S07.55/08.09:68,S08.15:69,S08.21:70,S08.25:71,S08.29:72,S08.35:73,S08.42:74,T08.47:75,,,,,,,,,,,,,,,,,
07:40,Chatham,Pass,H0-4-4T,Sittingbourne,S07.40:39,S07.44/07.46:41,S07.52:42,S07.58:203,T08.04:47,,,,,,,,,,,,,,,,,,,,,,
07:40,Victoria,Pass,EMU,Orpington,S07.40:1,S07.45:5,S07.48:8,S07.55:16,P07.58:19,S08.00/08.01:21,S08.04:23,T08.06:24,,,,,,,,,,,,,,,,,,,
07:42,Charing Cross,Pass,EMU,Gillingham,P08.39:35,S08.41/08.42:38,S08.44/08.45:40,T08.48:201,,,,,,,,,,,,,,,,,,,,,,,
07:44,Victoria,Pass,EMU,Orpington,S07.44:1,S07.49:5,S07.52:8,S07.54:10,S07.56:11,S07.59:12,S08.01:14,S08.03:16,S08.06:19,S08.08/08.09:21,S08.13:23,T08.14:24,,,,,,,,,,,,,,,
07:49,Holbourn V,Pass,EMU,Bickley,S08.00:7,S08.04:11,S08.07:12,S08.09:13,S08.11:16,S08.14:18,S08.16/08.17:20,T08.20:22,,,,,,,,,,,,,,,,,,,
07:51,Holbourn V,Pass,EMU,Sevenoaks,S08.21:19,S08.22/08.23:21,S08.26:23,S08.31:26,T08.36:28,,,,,,,,,,,,,,,,,,,,,,
07:55,Sheerness,Pass,C0-6-0,Sittingbourne,P08.13:508,P08.14:202,T08.15:47,S07.55:76,S08.02:77,,,,,,,,,,,,,,,,,,,,,,
07:57,Cannon Street,Pass,EMU,Gillingham,P09.07:35,S09.09/09.10:37,S09.11/09.13:40,T09.16:201,,,,,,,,,,,,,,,,,,,,,,,
