06:06,Ramsgate,XP,WC,Cannon St,S06.06:101,S06.10:103,S06.15:104,S06.21/06.23:106,S06.28:107,S06.33:108,S06.46/06.48:111,S06.54:113,S06.59:114,S07.09/07.11:116,P07.22:120,P07.34:126,S07.36/07.38:128,P07.40:130,P07.41:134,P07.53:137,P08.03:141,T08.08:143,,,,,,,
06:10,Dover,Pass,D1 4-4-0,Gillingham,T07.53:127,S06.10:174,S06.16:175,S06.25:176,S06.30:177,S06.33:178,S06.36:179,S06.42:180,S06.47/06.48:181,S07.01:182,,,,,,,,,,,,,,,
06:15,Town,Goods,0-6-0,Shepherdswell,P06.25:174,P06.55:175,T07.05:176,,,,,,,,,,,,,,,,,,,,,,
06:29,Ramsgate,XP,WC,Cannon St,S06.29:101,S06.33:103,S06.37:104,S06.43/06.46:106,S06.51:107,S06.56:108,S07.07/07.10:111,S07.16:113,S07.21:114,S07.31/07.33:116,S07.44/07.45:120,S07.58/07.59:126,S08.03/08.06:128,P08.08:130,P08.09:133,P08.21:136,P08.31:141,T08.36:143,,,,,,,
06:40,Ramsgate,Light,WC,Margate,S06.40:101,T06.56:105,,,,,,,,,,,,,,,,,,,,,,,
06:41,Sevenoaks,Pass,EMU,Holbourn Viaduct,S07.04:141,S07.09:142,S07.14:145,S07.16/07.17:147,S07.20:149,,,,,,,,,,,,,,,,,,,,
06:44,Faversham,Pass,2-6-2T,Rochester,S07.26/07.28:128,T07.30:130,,,,,,,,,,,,,,,,,,,,,,,
06:53,Ramsgate,ECS,V4-4-0,Cannon St,S06.53:101,P07.07:106,S07.27/08.20:112,S08.26:113,S08.31:114,S08.41/08.42:116,S08.53/08.54:120,P09.05:126,S09.08/09.10:128,P09.12:130,P09.13:133,P09.25:136,P09.35:141,T09.40:143,,,,,,,,,,,
06:56,Holbourn Viaduct,Pass,E1 4-4-0,Margate,S10.37:101,S10.41:103,S10.45:104,T10.51:105,,,,,,,,,,,,,,,,,,,,,
06:58,Gillingham,Pass,EMU,Cannon St,S07.01/07.03:128,S07.04/07.05:130,T07.06:133,,,,,,,,,,,,,,,,,,,,,,
07:00,Orpington,Pass,EMU,Victoria,P07.05:144,S07.08:146,S07.10/07.11:148,S07.14:150,S07.17:152,S07.19:155,S07.21:156,S07.24:157,S07.26:158,S07.29:161,S07.31:163,T07.36:167,,,,,,,,,,,,,
07:02,Canterbury,Pass,L4-4-0,Margate,S07.42:101,S07.46:103,S07.50:104,T07.56:105,,,,,,,,,,,,,,,,,,,,,
07:06,Farningham Road,Pass,EMU,Holbourn Viaduct,S07.06:139,S07.17:141,S07.22:142,S07.27:145,S07.31/07.32:147,S07.34:149,,,,,,,,,,,,,,,,,,,
07:07,Ramsgate,Pass,L4-4-0,Gillingham,S07.07:102,S07.11:103,S07.15:104,S07.21/07.23:106,S07.28:107,S07.33:108,S07.44/07.45:111,S07.51:113,S07.56:114,S08.06/08.15:117,S08.26/08.27:120,,,,,,,,,,,,,,
