Train,From,Class,Engine,Destination,1,2,3,4,5,6,7,8,9,10,11,200,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,205,31,204,32,33,34,35,36,37,38,39,40,41,201,42,203,43,44,76,77,78,79,80,81,45,46,47,202,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,168,169,170,171,172,173
04:05,Hither Green,Goods,C0-6-0,Gravesend,,,,,,,,,,,,,,,,,,,,,,,,,,,S04.38,P,,S05.03,S05.15,,S05.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:21,Strood,News,H0-4-4T,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P04.23,,,S04.27,,S04.35,,T04.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:50,Holbourn V,Pass,EMU,Orpington,,,,,,,,S05.03,,S05.05,S05.08,,S05.11,,S05.13,,S05.17,,,S05.21,S05.24/05.26,,,P,,,T05.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:52,Victoria,Pass,EMU,??,S04.52,P,P,,P,,,P04.58,,T05.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00,Charing Cross,Pass,EMU,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P06.23,,,S06.25,,S06.28/06.30,,T06.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00,Holbourn V,Pass,EMU,Sevenoaks,,,,,,,,,,,,,,,,,,,S05.29,,S05.32,,S05.35,P,,,S05.40,,T05.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:05,Faversham,Pass,U-2-6-0,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.05,,,,,,,,,,,,,,,P,S05.26,P,S05.36,P,S05.42,S05.47,S05.55,T06.00,,,,,,
05:10,Victoria,Pass,BRS4-6-0,Ramsgate,S05.10,P,P,,P,,,S05.22,,P,P,,P,,P,,P05.31,,,P05.33,,S05.35/05.40,,P05.45,,,P,S05.55,,P,P,,P,,S06.18,P,P06.23,P06.27,,,S06.28/06.31,,S06.33/06.38,S06.42/06.44,,S06.51,,S06.57,P,,,,,,,,P,,,S07.03/07.06,P,S07.13,,S07.21/07.29,P,S07.39,S07.47,S07.52/07.55,P,P,S08.07,S08.13,S08.19/08.24,,S08.32,S08.39,,T08.42,,,,,,,,,,,,,,,
05:12,Margate,Pass,L4-4-0,Canterbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.12,,S05.22,S05.26,,T05.29,,,,,,,,,,,,,,,
05:20,Gillingham,Goods,C0-6-0,Murston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.20,,,S05.26/06.15,S06.23/07.05,P,,,,,,,,P,S07.15/07.25,,,P,T07.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
