Train,From,Class,Engine,Destination,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,300,121,122,168,169,170,171,172,173,123,124,125,126,127,128,129,130,131,132,133,134,135,136,305,137,301,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,174,175,176,177,178,179,180,181,182
05:15,Gillingham,Pass,EMU,Strood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.15,S05.18/05.19,,S05.20/05.21,,,T05.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:22,Orpington,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.27,,S05.29,,S05.31/05.32,,S05.34,,S05.37,,,S05.39,S05.41,S05.45,S05.46,,,S05.49,,S05.51,,,,T05.56,,,,,,,,,
05:28,Gillingham,Pass,EMU,Cannon St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.28,S05.31/05.33,,S05.34/05.35,,,T05.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:30,Herne Hill,P&P,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.30,,,S05.33,,,,T05.38,,,,,,,,,
05:35,Bromley South,Goods,C0-6-0,Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.35/05.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:40,Gillingham,Pass,EMU,Strood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.40,S05.43/05.45,,S05.46/05.47,,,T05.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:42,Orpington,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.47,,S05.49,,S05.51/05.52,,S05.55,,S05.58,,,S06.00,S06.02,S06.05,S06.07,,,S06.09,,,,,,,,,,,,,,,
05:45,Swanley,pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.45,S05.50,,,S05.54,,S05.56/05.57,,S06.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:51,Sittingbourne,pass,2-6-2T,Sheerness,,,,,,,,,,,,,,,,,,,,S05.51,,P05.52,P05.53,,S06.56,,S06.02,S06.06,T06.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:52,Gillingham,pass,EMU,Cannon St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.52,S05.55/05.57,,S05.58/05.59,,,T06.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:52,Rainham,Motor,H0-4-4T,Gillingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S05.52,T05.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00,deleteme,Goods,N2-6-0,Herne Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T06.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:05,Reading,pass,L4-4-0,Margate,S11.25,,S11.29,S11.33,T11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:06,Ramsgate,XP,WC,Cannon St,S06.06,,S06.10,S06.15,,S06.21/06.23,S06.28,S06.33,,,S06.46/06.48,,S06.54,S06.59,,S07.09/07.11,,,,P07.22,,,,,,,,,,,,,P07.34,,S07.36/07.38,,P07.40,,,,P07.41,,,,P07.53,,,,,P08.03,,T08.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:10,Dover,pass,D1 4-4-0,Gillingham,,,,,,,,,,,,,,,,,S07.07/07.16,S07.25,,S07.31/07.33,,,,,,,,,,,S07.41,S07.48,,T07.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S06.10,S06.16,S06.25,S06.30,S06.33,S06.36,S06.42,S06.47/06.48,S07.01
06:15,Town,Goods,0-6-0,Shepherdswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P06.25,P06.55,T07.05,,,,,,
06:29,Ramsgate,XP,WC,Cannon St,S06.29,,S06.33,S06.37,,S06.43/06.46,S06.51,S06.56,,,S07.07/07.10,,S07.16,S07.21,,S07.31/07.33,,,,S07.44/07.45,,,,,,,,,,,,,S07.58/07.59,,S08.03/08.06,,P08.08,,,P08.09,,,P08.21,,,,,,,P08.31,,T08.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:40,Ramsgate,Light,WC,Margate,S06.40,,,,T06.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
